EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5311390,MARIPOSA CO.,YOSEMITE VLG,07/11/2002,1400,Wildfire, , ,0,0,0,0,CA,PST, ,1139978,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,10,NNW,10,NNW,YOSEMITE VLG,07/31/2002,2359, , , , ,"The Wolf Fire was a lightning caused fire.  Inside Yosemite National Park it was managed as a resource burn through the remainder of July, through August, and had burned approximately 1150 acres through September 16th.  No structures were lost nor were there any injuries.","",1
5311298,MARIPOSA CO.,YOSEMITE VLG,07/24/2002,1200,Wildfire, , ,0,0,0,0,CA,PST, ,1139972,C,43,HNX,0,0,NEWSPAPER, , , ,2,ESE,2,ESE,YOSEMITE VLG,07/26/2002,1800, , , , ,"The Deltoid Fire burned an estimated 15 acres adjacent to Half Dome within Yosemite National Park. There were no injuries or damage reported from this apparently man-started fire.","",2
5316438,MARIPOSA CO.,YOSEMITE VLG,08/01/2002,0,Wildfire, , ,0,0,0,0,CA,PST, ,1143120,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,10,NNW,10,NNW,YOSEMITE VLG,08/31/2002,2359, , , , ,"The Wolf Fire was started on July 11th by lightning.  It was allowed to burn as a resource burn inside Yosemite National Park through the month of August reaching 1144 acres on September 16th. No structures or injuries occurred due to this fire.","",3
5316324,MARIPOSA CO.,YOSEMITE VLG,09/01/2002,0,Wildfire, , ,0,0,0,0,CA,PST, ,1143248,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,10,NNW,10,NNW,YOSEMITE VLG,09/30/2002,1800, , , , ,"The Wolf Fire, inside Yosemite National Park, was started on July 11th by lightning and was allowed to burn through the month of August. This resource burn totaled 1454 acres by September 30th (last date of request for spot forecast). No structures or injuries occurred due to this fire.","",4
5367226,MARIPOSA CO.,MARIPOSA,07/03/2003,1019,Wildfire, , ,0,0,810000,0,CA,PST, ,1156041,C,43,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , ,16,NW,16,NW,MARIPOSA,07/04/2003,1700, , , , ,"The Hunter Fire was fought by the California Division of Forestry and consumed 562 acres. The cause of the fire was unknown but no fatalities occurred nor were any structures lost.","",5
5367225,MARIPOSA CO.,EL PORTAL,07/08/2003,1455,Wildfire, , ,0,0,1280000,0,CA,PST, ,1156040,C,43,HNX,0,0,PARK/FOREST SERVICE, , , , , , , ,EL PORTAL,07/11/2003,500, , , , ,"The Woodlot Fire inside Yosemite National Park burned 458 acres. The cause is unknown but no structures or fatalities occurred.","",6
5372413,MARIPOSA CO.,YOSEMITE VLG,07/19/2003,1600,Wildfire, , ,0,0,0,0,CA,PST, ,1162967,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,2,N,2,N,YOSEMITE VLG,07/31/2003,2359, , , , ,"The Duncan Complex fire was one of a number of lightning initiated fires that was allowed to continue as a resource management fire through the end of the month within Yosemite National Park.","",7
5333725,MARIPOSA CO.,YOSEMITE VLG,07/20/2003,1600,Wildfire, , ,0,0,0,0,CA,PST, ,1161727,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,25,N,25,N,YOSEMITE VLG,07/31/2003,2359, , , , ,"The Kibbee Complex Fire was lightning started on July 20th approximately 18 miles northeast of Miwok Village in the NW corner of Yosemite National Park. The fire eventually was managed as a resource burn as it continued into the month of August. No injuries occurred and the cost of this fire was assessed at $20,000.","",8
5333726,MARIPOSA CO.,YOSEMITE VLG,08/01/2003,0,Wildfire, , ,0,0,20000,0,CA,PST, ,1161728,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,25,N,25,N,YOSEMITE VLG,08/31/2003,2359, , , , ,"The Kibbee Complex Fire was lightning started on July 20th approximately 18 miles northeast of Miwok Village in the NW corner of Yosemite National Park. The fire eventually was managed as a resource burn as it continued into the month of August. No injuries occurred and the cost of this fire was still assessed at $20K at the end of August. The total acreage of this fire was 651 acres at the end of the month.","",9
5372410,MARIPOSA CO.,YOSEMITE VLG,08/01/2003,0,Wildfire, , ,0,0,0,0,CA,PST, ,1162964,C,43,HNX,0,0,PARK/FOREST SERVICE, , , ,2,N,2,N,YOSEMITE VLG,08/31/2003,2359, , , , ,"The Duncan Complex continued to burn through the month as a resource burn within Yosemite National Park.","",10
